Search Results: 2020 
FIPS code,State,County,Jurisdiction,Jurisdiction Type,Make,Model,Equipment Type,VVPAT,Polling Place,Accessible Use,Early Voting,Absentee Ballots
"0101500000","Alabama","Calhoun","Calhoun County","County","Votem","CastIron","Internet Voting System","N/A","No","No","No","No",
"0101700000","Alabama","Chambers","Chambers County","County","Election Systems & Software","DS200","Hand-Fed Optical Scanner","N/A","Yes","No","No","Yes",
"0101700000","Alabama","Chambers","Chambers County","County","Election Systems & Software","ExpressVote","Ballot Marking Device","N/A","Yes","Yes","No","No",
"0101700000","Alabama","Chambers","Chambers County","County","KNOWiNK","Poll Pad","Electronic Poll Book","N/A","Yes","No","No","No",
"0101700000","Alabama","Chambers","Chambers County","County","Votem","CastIron","Internet Voting System","N/A","No","No","No","No",
"0101900000","Alabama","Cherokee","Cherokee County","County","Election Systems & Software","DS200","Hand-Fed Optical Scanner","N/A","Yes","No","No","Yes",
"0101900000","Alabama","Cherokee","Cherokee County","County","Election Systems & Software","AutoMARK","Ballot Marking Device","N/A","Yes","Yes","No","No",
"0101900000","Alabama","Cherokee","Cherokee County","County","KNOWiNK","Poll Pad","Electronic Poll Book","N/A","Yes","No","No","No",
"0101900000","Alabama","Cherokee","Cherokee County","County","Votem","CastIron","Internet Voting System","N/A","No","No","No","No",
"0102100000","Alabama","Chilton","Chilton County","County","Election Systems & Software","DS200","Hand-Fed Optical Scanner","N/A","Yes","No","No","Yes",
"0102100000","Alabama","Chilton","Chilton County","County","Election Systems & Software","AutoMARK","Ballot Marking Device","N/A","Yes","Yes","No","No",
"0102100000","Alabama","Chilton","Chilton County","County","KNOWiNK","Poll Pad","Electronic Poll Book","N/A","Yes","No","No","No",
"0102100000","Alabama","Chilton","Chilton County","County","Votem","CastIron","Internet Voting System","N/A","No","No","No","No",
"0102300000","Alabama","Choctaw","Choctaw County","County","Election Systems & Software","DS200","Hand-Fed Optical Scanner","N/A","Yes","No","No","Yes",
"0102300000","Alabama","Choctaw","Choctaw County","County","Election Systems & Software","AutoMARK","Ballot Marking Device","N/A","Yes","Yes","No","No",
"0102300000","Alabama","Choctaw","Choctaw County","County","Election Systems & Software","ExpressPoll","Electronic Poll Book","N/A","Yes","No","No","No",
"0102300000","Alabama","Choctaw","Choctaw County","County","Votem","CastIron","Internet Voting System","N/A","No","No","No","No",
"0102500000","Alabama","Clarke","Clarke County","County","Election Systems & Software","DS200","Hand-Fed Optical Scanner","N/A","Yes","No","No","Yes",
"0102500000","Alabama","Clarke","Clarke County","County","Election Systems & Software","AutoMARK","Ballot Marking Device","N/A","Yes","Yes","No","No",
"0102500000","Alabama","Clarke","Clarke County","County","Election Systems & Software","ExpressPoll","Electronic Poll Book","N/A","Yes","No","No","No",
"0102500000","Alabama","Clarke","Clarke County","County","Votem","CastIron","Internet Voting System","N/A","No","No","No","No",
"0102700000","Alabama","Clay","Clay County","County","Election Systems & Software","DS200","Hand-Fed Optical Scanner","N/A","Yes","No","No","Yes",
"0102700000","Alabama","Clay","Clay County","County","Election Systems & Software","AutoMARK","Ballot Marking Device","N/A","Yes","Yes","No","No",
"0102700000","Alabama","Clay","Clay County","County","KNOWiNK","Poll Pad","Electronic Poll Book","N/A","Yes","No","No","No",
"0102700000","Alabama","Clay","Clay County","County","Votem","CastIron","Internet Voting System","N/A","No","No","No","No",
"0102900000","Alabama","Cleburne","Cleburne County","County","Not Applicable","Not Applicable","Hand Counted Paper Ballots","N/A","No","No","No","Yes",
"0102900000","Alabama","Cleburne","Cleburne County","County","Election Systems & Software","DS200","Hand-Fed Optical Scanner","N/A","Yes","No","No","No",
"0102900000","Alabama","Cleburne","Cleburne County","County","Election Systems & Software","AutoMARK","Ballot Marking Device","N/A","Yes","Yes","No","No",
"0102900000","Alabama","Cleburne","Cleburne County","County","Election Systems & Software","ExpressPoll","Electronic Poll Book","N/A","Yes","No","No","No",
"0102900000","Alabama","Cleburne","Cleburne County","County","Votem","CastIron","Internet Voting System","N/A","No","No","No","No",
"0103100000","Alabama","Coffee","Coffee County","County","Election Systems & Software","DS200","Hand-Fed Optical Scanner","N/A","Yes","No","No","Yes",
"0103100000","Alabama","Coffee","Coffee County","County","Election Systems & Software","AutoMARK","Ballot Marking Device","N/A","Yes","Yes","No","No",
"0103100000","Alabama","Coffee","Coffee County","County","KNOWiNK","Poll Pad","Electronic Poll Book","N/A","Yes","No","No","No",
"0103100000","Alabama","Coffee","Coffee County","County","Votem","CastIron","Internet Voting System","N/A","No","No","No","No",
"0103300000","Alabama","Colbert","Colbert County","County","Election Systems & Software","DS200","Hand-Fed Optical Scanner","N/A","Yes","No","No","Yes",
"0103300000","Alabama","Colbert","Colbert County","County","Election Systems & Software","AutoMARK","Ballot Marking Device","N/A","Yes","Yes","No","No",
"0103300000","Alabama","Colbert","Colbert County","County","KNOWiNK","Poll Pad","Electronic Poll Book","N/A","Yes","No","No","No",
"0103300000","Alabama","Colbert","Colbert County","County","Votem","CastIron","Internet Voting System","N/A","No","No","No","No",
"0103500000","Alabama","Conecuh","Conecuh County","County","Election Systems & Software","DS200","Hand-Fed Optical Scanner","N/A","Yes","No","No","Yes",
"0103500000","Alabama","Conecuh","Conecuh County","County","Election Systems & Software","AutoMARK","Ballot Marking Device","N/A","Yes","Yes","No","No",
"0103500000","Alabama","Conecuh","Conecuh County","County","Election Systems & Software","ExpressPoll","Electronic Poll Book","N/A","Yes","No","No","No",
"0103500000","Alabama","Conecuh","Conecuh County","County","Votem","CastIron","Internet Voting System","N/A","No","No","No","No",
"0103700000","Alabama","Coosa","Coosa County","County","Election Systems & Software","DS200","Hand-Fed Optical Scanner","N/A","Yes","No","No","Yes",
"0103700000","Alabama","Coosa","Coosa County","County","Election Systems & Software","AutoMARK","Ballot Marking Device","N/A","Yes","Yes","No","No",
"0103700000","Alabama","Coosa","Coosa County","County","KNOWiNK","Poll Pad","Electronic Poll Book","N/A","Yes","No","No","No",
"0103700000","Alabama","Coosa","Coosa County","County","Votem","CastIron","Internet Voting System","N/A","No","No","No","No",
"0103900000","Alabama","Covington","Covington County","County","Election Systems & Software","DS200","Hand-Fed Optical Scanner","N/A","Yes","No","No","Yes",
"0103900000","Alabama","Covington","Covington County","County","Election Systems & Software","AutoMARK","Ballot Marking Device","N/A","Yes","Yes","No","No",
"0103900000","Alabama","Covington","Covington County","County","Election Systems & Software","ExpressPoll","Electronic Poll Book","N/A","Yes","No","No","No",
"0103900000","Alabama","Covington","Covington County","County","Votem","CastIron","Internet Voting System","N/A","No","No","No","No",
"0104100000","Alabama","Crenshaw","Crenshaw County","County","Election Systems & Software","DS200","Hand-Fed Optical Scanner","N/A","Yes","No","No","Yes",
"0104100000","Alabama","Crenshaw","Crenshaw County","County","Election Systems & Software","AutoMARK","Ballot Marking Device","N/A","Yes","Yes","No","No",
"0104100000","Alabama","Crenshaw","Crenshaw County","County","Election Systems & Software","ExpressPoll","Electronic Poll Book","N/A","Yes","No","No","No",
"0104100000","Alabama","Crenshaw","Crenshaw County","County","Votem","CastIron","Internet Voting System","N/A","No","No","No","No",
"0104300000","Alabama","Cullman","Cullman County","County","Election Systems & Software","DS200","Hand-Fed Optical Scanner","N/A","Yes","No","No","Yes",
"0104300000","Alabama","Cullman","Cullman County","County","Election Systems & Software","AutoMARK","Ballot Marking Device","N/A","Yes","Yes","No","No",
"0104300000","Alabama","Cullman","Cullman County","County","Election Systems & Software","ExpressPoll","Electronic Poll Book","N/A","Yes","No","No","No",
"0104300000","Alabama","Cullman","Cullman County","County","Votem","CastIron","Internet Voting System","N/A","No","No","No","No",
"0104500000","Alabama","Dale","Dale County","County","Election Systems & Software","DS200","Hand-Fed Optical Scanner","N/A","Yes","No","No","Yes",
"0104500000","Alabama","Dale","Dale County","County","Election Systems & Software","AutoMARK","Ballot Marking Device","N/A","Yes","Yes","No","No",
"0104500000","Alabama","Dale","Dale County","County","Election Systems & Software","ExpressPoll","Electronic Poll Book","N/A","Yes","No","No","No",
"0104500000","Alabama","Dale","Dale County","County","Votem","CastIron","Internet Voting System","N/A","No","No","No","No",
"0104700000","Alabama","Dallas","Dallas County","County","Election Systems & Software","DS200","Hand-Fed Optical Scanner","N/A","Yes","No","No","Yes",
"0104700000","Alabama","Dallas","Dallas County","County","Election Systems & Software","AutoMARK","Ballot Marking Device","N/A","Yes","Yes","No","No",
"0104700000","Alabama","Dallas","Dallas County","County","KNOWiNK","Poll Pad","Electronic Poll Book","N/A","Yes","No","No","No",
"0104700000","Alabama","Dallas","Dallas County","County","Votem","CastIron","Internet Voting System","N/A","No","No","No","No",
"0104900000","Alabama","DeKalb","DeKalb County","County","Election Systems & Software","DS200","Hand-Fed Optical Scanner","N/A","Yes","No","No","Yes",
"0104900000","Alabama","DeKalb","DeKalb County","County","Election Systems & Software","AutoMARK","Ballot Marking Device","N/A","Yes","Yes","No","No",
"0104900000","Alabama","DeKalb","DeKalb County","County","KNOWiNK","Poll Pad","Electronic Poll Book","N/A","Yes","No","No","No",
"0104900000","Alabama","DeKalb","DeKalb County","County","Votem","CastIron","Internet Voting System","N/A","No","No","No","No",
"0105100000","Alabama","Elmore","Elmore County","County","Election Systems & Software","DS200","Hand-Fed Optical Scanner","N/A","Yes","No","No","Yes",
"0105100000","Alabama","Elmore","Elmore County","County","Election Systems & Software","AutoMARK","Ballot Marking Device","N/A","Yes","Yes","No","No",
"0105100000","Alabama","Elmore","Elmore County","County","KNOWiNK","Poll Pad","Electronic Poll Book","N/A","Yes","No","No","No",
"0105100000","Alabama","Elmore","Elmore County","County","Votem","CastIron","Internet Voting System","N/A","No","No","No","No",
"0105300000","Alabama","Escambia","Escambia County","County","Election Systems & Software","DS200","Hand-Fed Optical Scanner","N/A","Yes","No","No","Yes",
"0105300000","Alabama","Escambia","Escambia County","County","Election Systems & Software","AutoMARK","Ballot Marking Device","N/A","Yes","Yes","No","No",
"0105300000","Alabama","Escambia","Escambia County","County","Election Systems & Software","ExpressPoll","Electronic Poll Book","N/A","Yes","No","No","No",
"0105300000","Alabama","Escambia","Escambia County","County","Votem","CastIron","Internet Voting System","N/A","No","No","No","No",
"0105500000","Alabama","Etowah","Etowah County","County","Election Systems & Software","DS200","Hand-Fed Optical Scanner","N/A","Yes","No","No","Yes",
"0105500000","Alabama","Etowah","Etowah County","County","Election Systems & Software","AutoMARK","Ballot Marking Device","N/A","Yes","Yes","No","No",
"0105500000","Alabama","Etowah","Etowah County","County","Election Systems & Software","ExpressPoll","Electronic Poll Book","N/A","Yes","No","No","No",
"0105500000","Alabama","Etowah","Etowah County","County","Votem","CastIron","Internet Voting System","N/A","No","No","No","No",
"0105700000","Alabama","Fayette","Fayette County","County","Election Systems & Software","DS200","Hand-Fed Optical Scanner","N/A","Yes","No","No","Yes",
"0105700000","Alabama","Fayette","Fayette County","County","Election Systems & Software","AutoMARK","Ballot Marking Device","N/A","Yes","Yes","No","No",
"0105700000","Alabama","Fayette","Fayette County","County","KNOWiNK","Poll Pad","Electronic Poll Book","N/A","Yes","No","No","No",
"0105700000","Alabama","Fayette","Fayette County","County","Votem","CastIron","Internet Voting System","N/A","No","No","No","No",
"0105900000","Alabama","Franklin","Franklin County","County","Election Systems & Software","DS200","Hand-Fed Optical Scanner","N/A","Yes","No","No","Yes",
"0105900000","Alabama","Franklin","Franklin County","County","Election Systems & Software","AutoMARK","Ballot Marking Device","N/A","Yes","Yes","No","No",
"0105900000","Alabama","Franklin","Franklin County","County","KNOWiNK","Poll Pad","Electronic Poll Book","N/A","Yes","No","No","No",
"0105900000","Alabama","Franklin","Franklin County","County","Votem","CastIron","Internet Voting System","N/A","No","No","No","No",
"0106100000","Alabama","Geneva","Geneva County","County","Election Systems & Software","DS200","Hand-Fed Optical Scanner","N/A","Yes","No","No","Yes",
"0106100000","Alabama","Geneva","Geneva County","County","Election Systems & Software","AutoMARK","Ballot Marking Device","N/A","Yes","Yes","No","No",
"0106100000","Alabama","Geneva","Geneva County","County","Election Systems & Software","ExpressPoll","Electronic Poll Book","N/A","Yes","No","No","No",
"0106100000","Alabama","Geneva","Geneva County","County","Votem","CastIron","Internet Voting System","N/A","No","No","No","No",
"0106300000","Alabama","Greene","Greene County","County","Election Systems & Software","DS200","Hand-Fed Optical Scanner","N/A","Yes","No","No","Yes",
"0106300000","Alabama","Greene","Greene County","County","Election Systems & Software","AutoMARK","Ballot Marking Device","N/A","Yes","Yes","No","No",
"0106300000","Alabama","Greene","Greene County","County","Not Applicable","Not Applicable","Paper Poll Book","N/A","Yes","No","No","No",
"0106300000","Alabama","Greene","Greene County","County","Votem","CastIron","Internet Voting System","N/A","No","No","No","No",
"0106500000","Alabama","Hale","Hale County","County","Election Systems & Software","DS200","Hand-Fed Optical Scanner","N/A","Yes","No","No","Yes",
"0106500000","Alabama","Hale","Hale County","County","Election Systems & Software","AutoMARK","Ballot Marking Device","N/A","Yes","Yes","No","No",
"0106500000","Alabama","Hale","Hale County","County","KNOWiNK","Poll Pad","Electronic Poll Book","N/A","Yes","No","No","No",
"0106500000","Alabama","Hale","Hale County","County","Votem","CastIron","Internet Voting System","N/A","No","No","No","No",
"0106700000","Alabama","Henry","Henry County","County","Election Systems & Software","DS200","Hand-Fed Optical Scanner","N/A","Yes","No","No","Yes",
"0106700000","Alabama","Henry","Henry County","County","Election Systems & Software","AutoMARK","Ballot Marking Device","N/A","Yes","Yes","No","No",
"0106700000","Alabama","Henry","Henry County","County","KNOWiNK","Poll Pad","Electronic Poll Book","N/A","Yes","No","No","No",
"0106700000","Alabama","Henry","Henry County","County","Votem","CastIron","Internet Voting System","N/A","No","No","No","No",
"0106900000","Alabama","Houston","Houston County","County","Election Systems & Software","DS200","Hand-Fed Optical Scanner","N/A","Yes","No","No","Yes",
"0106900000","Alabama","Houston","Houston County","County","Election Systems & Software","AutoMARK","Ballot Marking Device","N/A","Yes","Yes","No","No",
"0106900000","Alabama","Houston","Houston County","County","Election Systems & Software","ExpressPoll","Electronic Poll Book","N/A","Yes","No","No","No",
"0106900000","Alabama","Houston","Houston County","County","Votem","CastIron","Internet Voting System","N/A","No","No","No","No",
"0107100000","Alabama","Jackson","Jackson County","County","Election Systems & Software","DS200","Hand-Fed Optical Scanner","N/A","Yes","No","No","Yes",
"0107100000","Alabama","Jackson","Jackson County","County","Election Systems & Software","AutoMARK","Ballot Marking Device","N/A","Yes","Yes","No","No",
"0107100000","Alabama","Jackson","Jackson County","County","Election Systems & Software","ExpressPoll","Electronic Poll Book","N/A","Yes","No","No","No",
"0107100000","Alabama","Jackson","Jackson County","County","Votem","CastIron","Internet Voting System","N/A","No","No","No","No",
"0107300000","Alabama","Jefferson","Jefferson County","County","Election Systems & Software","DS200","Hand-Fed Optical Scanner","N/A","Yes","No","No","No",
"0107300000","Alabama","Jefferson","Jefferson County","County","Election Systems & Software","ExpressVote","Ballot Marking Device","N/A","Yes","Yes","No","No",
"0107300000","Alabama","Jefferson","Jefferson County","County","Election Systems & Software","DS850","Batch-Fed Optical Scanner","N/A","No","No","No","Yes",
"0107300000","Alabama","Jefferson","Jefferson County","County","KNOWiNK","Poll Pad","Electronic Poll Book","N/A","Yes","No","No","No",
"0107300000","Alabama","Jefferson","Jefferson County","County","Votem","CastIron","Internet Voting System","N/A","No","No","No","No",
"0107500000","Alabama","Lamar","Lamar County","County","Election Systems & Software","DS200","Hand-Fed Optical Scanner","N/A","Yes","No","No","Yes",
"0107500000","Alabama","Lamar","Lamar County","County","Election Systems & Software","AutoMARK","Ballot Marking Device","N/A","Yes","Yes","No","No",
"0107500000","Alabama","Lamar","Lamar County","County","KNOWiNK","Poll Pad","Electronic Poll Book","N/A","Yes","No","No","No",
"0107500000","Alabama","Lamar","Lamar County","County","Votem","CastIron","Internet Voting System","N/A","No","No","No","No",
"0107700000","Alabama","Lauderdale","Lauderdale County","County","Election Systems & Software","DS200","Hand-Fed Optical Scanner","N/A","Yes","No","No","Yes",
"0107700000","Alabama","Lauderdale","Lauderdale County","County","Election Systems & Software","AutoMARK","Ballot Marking Device","N/A","Yes","Yes","No","No",
"0107700000","Alabama","Lauderdale","Lauderdale County","County","Votem","CastIron","Internet Voting System","N/A","No","No","No","No",
"0107700000","Alabama","Lauderdale","Lauderdale County","County","Election Systems & Software","ExpressPoll","Electronic Poll Book","N/A","Yes","No","No","No",
"0107900000","Alabama","Lawrence","Lawrence County","County","Election Systems & Software","DS200","Hand-Fed Optical Scanner","N/A","Yes","No","No","Yes",
"0107900000","Alabama","Lawrence","Lawrence County","County","Election Systems & Software","AutoMARK","Ballot Marking Device","N/A","Yes","Yes","No","No",
"0107900000","Alabama","Lawrence","Lawrence County","County","Election Systems & Software","ExpressPoll","Electronic Poll Book","N/A","Yes","No","No","No",
"0107900000","Alabama","Lawrence","Lawrence County","County","Votem","CastIron","Internet Voting System","N/A","No","No","No","No",
"0108100000","Alabama","Lee","Lee County","County","Election Systems & Software","DS200","Hand-Fed Optical Scanner","N/A","Yes","No","No","Yes",
"0108100000","Alabama","Lee","Lee County","County","Election Systems & Software","AutoMARK","Ballot Marking Device","N/A","Yes","Yes","No","No",
"0108100000","Alabama","Lee","Lee County","County","Election Systems & Software","ExpressPoll","Electronic Poll Book","N/A","Yes","No","No","No",
"0108100000","Alabama","Lee","Lee County","County","Votem","CastIron","Internet Voting System","N/A","No","No","No","No",
"0108300000","Alabama","Limestone","Limestone County","County","Election Systems & Software","DS200","Hand-Fed Optical Scanner","N/A","Yes","No","No","Yes",
"0108300000","Alabama","Limestone","Limestone County","County","Election Systems & Software","AutoMARK","Ballot Marking Device","N/A","Yes","Yes","No","No",
"0108300000","Alabama","Limestone","Limestone County","County","KNOWiNK","Poll Pad","Electronic Poll Book","N/A","Yes","No","No","No",
"0108300000","Alabama","Limestone","Limestone County","County","Votem","CastIron","Internet Voting System","N/A","No","No","No","No",
"0108500000","Alabama","Lowndes","Lowndes County","County","Election Systems & Software","DS200","Hand-Fed Optical Scanner","N/A","Yes","No","No","Yes",
"0108500000","Alabama","Lowndes","Lowndes County","County","Election Systems & Software","AutoMARK","Ballot Marking Device","N/A","Yes","Yes","No","No",
"0108500000","Alabama","Lowndes","Lowndes County","County","KNOWiNK","Poll Pad","Electronic Poll Book","N/A","Yes","No","No","No",
"0108500000","Alabama","Lowndes","Lowndes County","County","Votem","CastIron","Internet Voting System","N/A","No","No","No","No",
"0108700000","Alabama","Macon","Macon County","County","Election Systems & Software","DS200","Hand-Fed Optical Scanner","N/A","Yes","No","No","Yes",
"0108700000","Alabama","Macon","Macon County","County","Election Systems & Software","AutoMARK","Ballot Marking Device","N/A","Yes","Yes","No","No",
"0108700000","Alabama","Macon","Macon County","County","KNOWiNK","Poll Pad","Electronic Poll Book","N/A","Yes","No","No","No",
"0108700000","Alabama","Macon","Macon County","County","Votem","CastIron","Internet Voting System","N/A","No","No","No","No",
"0108900000","Alabama","Madison","Madison County","County","Election Systems & Software","DS200","Hand-Fed Optical Scanner","N/A","Yes","No","No","No",
"0108900000","Alabama","Madison","Madison County","County","Election Systems & Software","ExpressVote","Ballot Marking Device","N/A","Yes","Yes","No","No",
"0108900000","Alabama","Madison","Madison County","County","Election Systems & Software","DS850","Batch-Fed Optical Scanner","N/A","No","No","No","Yes",
"0108900000","Alabama","Madison","Madison County","County","KNOWiNK","Poll Pad","Electronic Poll Book","N/A","Yes","No","No","No",
"0108900000","Alabama","Madison","Madison County","County","Votem","CastIron","Internet Voting System","N/A","No","No","No","No",
"0109100000","Alabama","Marengo","Marengo County","County","Election Systems & Software","DS200","Hand-Fed Optical Scanner","N/A","Yes","No","No","Yes",
"0109100000","Alabama","Marengo","Marengo County","County","Election Systems & Software","AutoMARK","Ballot Marking Device","N/A","Yes","Yes","No","No",
"0109100000","Alabama","Marengo","Marengo County","County","KNOWiNK","Poll Pad","Electronic Poll Book","N/A","Yes","No","No","No",
"0109100000","Alabama","Marengo","Marengo County","County","Votem","CastIron","Internet Voting System","N/A","No","No","No","No",
"0109300000","Alabama","Marion","Marion County","County","Election Systems & Software","DS200","Hand-Fed Optical Scanner","N/A","Yes","No","No","Yes",
"0109300000","Alabama","Marion","Marion County","County","Election Systems & Software","AutoMARK","Ballot Marking Device","N/A","Yes","Yes","No","No",
"0109300000","Alabama","Marion","Marion County","County","KNOWiNK","Poll Pad","Electronic Poll Book","N/A","Yes","No","No","No",
"0109300000","Alabama","Marion","Marion County","County","Votem","CastIron","Internet Voting System","N/A","No","No","No","No",
"0109500000","Alabama","Marshall","Marshall County","County","Election Systems & Software","DS200","Hand-Fed Optical Scanner","N/A","Yes","No","No","Yes",
"0109500000","Alabama","Marshall","Marshall County","County","Election Systems & Software","AutoMARK","Ballot Marking Device","N/A","Yes","Yes","No","No",
"0109500000","Alabama","Marshall","Marshall County","County","Election Systems & Software","ExpressPoll","Electronic Poll Book","N/A","Yes","No","No","No",
"0109500000","Alabama","Marshall","Marshall County","County","Votem","CastIron","Internet Voting System","N/A","No","No","No","No",
"0109700000","Alabama","Mobile","Mobile County","County","Election Systems & Software","DS200","Hand-Fed Optical Scanner","N/A","Yes","No","No","No",
"0109700000","Alabama","Mobile","Mobile County","County","Election Systems & Software","ExpressVote","Ballot Marking Device","N/A","Yes","Yes","No","No",
"0109700000","Alabama","Mobile","Mobile County","County","Election Systems & Software","DS850","Batch-Fed Optical Scanner","N/A","No","No","No","Yes",
"0109700000","Alabama","Mobile","Mobile County","County","Tenex","Precinct Central","Electronic Poll Book","N/A","Yes","No","No","No",
"0109700000","Alabama","Mobile","Mobile County","County","Votem","CastIron","Internet Voting System","N/A","No","No","No","No",
"0109900000","Alabama","Monroe","Monroe County","County","Election Systems & Software","DS200","Hand-Fed Optical Scanner","N/A","Yes","No","No","Yes",
"0109900000","Alabama","Monroe","Monroe County","County","Election Systems & Software","AutoMARK","Ballot Marking Device","N/A","Yes","Yes","No","No",
"0109900000","Alabama","Monroe","Monroe County","County","Election Systems & Software","ExpressPoll","Electronic Poll Book","N/A","Yes","No","No","No",
"0109900000","Alabama","Monroe","Monroe County","County","Votem","CastIron","Internet Voting System","N/A","No","No","No","No",
